PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,B01,B02,B02_OTHER,B03,B04,B05,B05_OTHER,B06_1,B06_2,B06_3,B06_4,B06_5,B06_OTHER,B07_1,B07_2,B07_3,B07_4,B07_OTHER,B08_01,B08_02,B08_03,B08_04,B08_05,B08_06,B08_07,B08_08,B08_09,B08_10,B08_11,B08_12,B08_13,B08_14,B08_15,B08_OTHER,B09,B10,B11_01,B11_02,B11_03,B11_04,B11_05,B11_06,B11_07,B11_08,B11_09,B11_10,B11_11,B11_12,B11_13,B11_OTHER,B12,B13,B14
Kigali City,Nyarugenge,1,Urban,1,Ordinary HH,400.7663,345.8023280804907,01,Electricity from REG,,,,Cement,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Category 2,Tenant
Kigali City,Nyarugenge,1,Urban,3,Ordinary HH,400.7663,345.8023280804907,02,Electricity from REG,,,,Cement,,Yes,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,Category 2,Tenant
Kigali City,Nyarugenge,1,Urban,4,Ordinary HH,400.7663,345.8023280804907,02,Electricity from REG,,,,Cement,,Yes,,,,,,,,,Yes,None,,,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Category 2,Owner
Kigali City,Nyarugenge,1,Urban,7,Ordinary HH,400.7663,345.8023280804907,02,Electricity from REG,,,,Cement,,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,Category 3,Tenant
Kigali City,Nyarugenge,1,Urban,8,Ordinary HH,400.7663,345.8023280804907,02,Electricity from REG,,,,Cement,,,,,Yes,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,Category 2,Owner
Kigali City,Nyarugenge,1,Urban,9,Ordinary HH,400.7663,345.8023280804907,02,Electricity from REG,,,,Cement,,Yes,Yes,,,,,Yes,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,Category 2,Tenant
Kigali City,Nyarugenge,1,Urban,10,Ordinary HH,400.7663,345.8023280804907,02,Electricity from REG,,,,Cement,,Yes,,,,,,,,,Yes,None,,,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,Category 3,Tenant
Kigali City,Nyarugenge,1,Urban,11,Ordinary HH,400.7663,345.8023280804907,02,Electricity from REG,,,,Cement,,Yes,,,,,,Yes,,,,,Yes,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,Category 3,Owner
Kigali City,Nyarugenge,1,Urban,13,Ordinary HH,50.54710090090089,51.58024638540963,01,Candle,,,,Cement,,,,,,Yes,None,Yes,,,,,,,,Yes,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,Category 2,Tenant
Kigali City,Nyarugenge,1,Urban,14,Ordinary HH,400.7663,345.8023280804907,01,Electricity from REG,,,,Clay tiles,,,,Yes,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Category 3,Owner
Kigali City,Nyarugenge,1,Urban,15,Ordinary HH,400.7663,345.8023280804907,01,Electricity from REG,,,,Cement,,Yes,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,Category 2,Tenant
