Cluster,HI05,HH_WT,C_hhweight,PROVINCE,DISTRICT,HI04,TYPEHH,C128,C135_6,C135_Other,C144,C144_OTHER,C149A,C149B,C149_OTHER,C129,C130,C131,C132,C133,C134,C135_1,C135_2,C135_3,C135_4,C135_5,C136,C137_1,C137_2,C137_3,C137_4,C137_5,C137_6,C138,C139,C140,C141,C142,C143,C145,C146,C147,C148,C150,C151
2,6,105.421975,107.1628146221072,Kigali City,Nyarugenge,Rural,Ordinary HH,second,,,,,No problems,No other problem,,Solar lighting system,No,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,Paid,10000,No,Yes,1,,Reseller
2,6,105.421975,107.1628146221072,Kigali City,Nyarugenge,Rural,Ordinary HH,First,,,,,Battery problems,Cannot power large appliances,,Solar home system,Yes,International brands,Yes,3,Yes,Yes,,,,,Have appliances,,,,,,,Solar Home System,888,Yes,1,01,Paid,11400,Yes,Yes,12,No,Reseller
3,4,179.50659375,170.7883849440346,Kigali City,Nyarugenge,Rural,Ordinary HH,First,Yes,Telephone,Local government,,Duration of service too short,No other problem,,Solar home system,Yes,International brands,Yes,4,No,,,,,,Have appliances,,,,,,,Solar Lighting product,17,Yes,5,01,For free,,,Yes,4,,Reseller
12,7,73.16421861233481,78.23429284063168,Kigali City,Gasabo,Rural,Ordinary HH,First,Yes,No place to connect on it,,,Duration of service too short,No other problem,,Solar lantern,Yes,International brands,Yes,1,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,1,01,Paid,5000,Yes,No,3,,Owner
18,2,947.7518,932.0417751262985,Kigali City,Gasabo,Rural,Ordinary HH,First,,,Local government,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,5,01,For free,,,No,12,,Other technician
18,3,143.5987575757576,149.4869540635007,Kigali City,Gasabo,Rural,Ordinary HH,third,,,Relative/Friend,,No problems,No other problem,,Solar home system,No,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,For free,,,No,1,,Relative/friend
18,3,143.5987575757576,149.4869540635007,Kigali City,Gasabo,Rural,Ordinary HH,First,,,,,Cannot power large appliances,Breaks down too often,,Solar home system,Yes,International brands,Yes,5,Yes,Yes,,,,,Have appliances,,,,,,,Solar Home System,100,Yes,1,01,Paid,30000,Yes,Yes,24,Yes,Reseller
18,3,143.5987575757576,149.4869540635007,Kigali City,Gasabo,Rural,Ordinary HH,second,,,,,No problems,No other problem,,Solar lantern,No,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,Paid,10000,No,No,2,,Owner
18,12,947.7518,932.0417751262985,Kigali City,Gasabo,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,4,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,10,No,7,01,Paid,130000,Yes,No,4,,Owner
18,13,143.5987575757576,149.4869540635007,Kigali City,Gasabo,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,17,No,8,01,Paid,250000,Yes,No,3,,Reseller
19,4,44.8755496875,45.81028611161896,Kigali City,Gasabo,Urban,Ordinary HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,No,3,No,Yes,,,,,Have appliances,,,,,,,Solar Home System,888,No,3,02,Paid,485000,Yes,Yes,12,,Reseller
20,2,604.1932641095891,602.8997368926886,Kigali City,Gasabo,Rural,Ordinary HH,First,,,,,Recurrent cost related to solar device is too expensive,No other problem,,Solar home system,Yes,International brands,Yes,4,Yes,Yes,,,,,Have appliances,,,,,,,Solar Home System,50,No,1,0102,Paid,30000,Yes,Yes,16,,Reseller
20,14,604.1932641095891,602.8997368926886,Kigali City,Gasabo,Rural,Ordinary HH,First,,,Local government,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,12,Yes,5,01,For free,,,No,12,,Other technician
22,3,16.45555454545454,16.33027428995425,Kigali City,Gasabo,Urban,Ordinary HH,First,,,,,Duration of service too short,Cannot power large appliances,,Solar home system,Yes,International brands,Yes,3,Yes,Yes,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,3,01,Paid,2000,Yes,Yes,3,,Reseller
22,13,16.45555454545454,16.33027428995425,Kigali City,Gasabo,Urban,Ordinary HH,second,Yes,Electric lamp,Local private organizations (NGO),,No problems,No other problem,,Solar lighting system,No,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Lighting product,12,No,3,01,For free,,,No,Don't know,,"Other, specify"
22,13,16.45555454545454,16.33027428995425,Kigali City,Gasabo,Urban,Ordinary HH,third,Yes,Electric lamp,"Other, specify",Nothing,No problems,No other problem,,Solar home system,No,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Home System,888,No,1,01,For free,,,No,2,,"Other, specify"
22,13,16.45555454545454,16.33027428995425,Kigali City,Gasabo,Urban,Ordinary HH,First,,,,,Duration of service too short,Cannot power large appliances,,Solar home system,Yes,International brands,Yes,2,No,Yes,,,,,Have appliances,,,,,,,Solar Home System,888,No,3,01,Paid,30000,Yes,No,Don't know,,Reseller
27,3,4.944995319148934,4.459440535194402,Kigali City,Gasabo,Urban,Ordinary HH,First,,,,,Cannot power large appliances,"Other, specify",Zola Program only,Solar lighting system,Yes,International brands,Yes,4,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,22,No,5,01,Paid,285000,Yes,No,5,,Reseller
27,3,4.944995319148934,4.459440535194402,Kigali City,Gasabo,Urban,Ordinary HH,second,,,,,No problems,No other problem,,Solar lantern,No,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,5,01,Paid,285000,Yes,No,3,,Reseller
29,5,467.7392,418.4673330402808,Kigali City,Gasabo,Urban,Ordinary HH,First,,,,,Cannot power large appliances,Quality of light,,Solar lighting system,Yes,International brands,Yes,3,No,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,3,01,Paid,180000,Yes,Yes,1,,Owner
34,1,597.1054250000001,578.7579975138383,Kigali City,Gasabo,Rural,Ordinary HH,First,Yes,Telephone,Local government,,No problems,No other problem,,Solar lantern,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,82,No,5,01,For free,,,No,12,,Other technician
40,6,637.3517000000002,691.784389533238,Kigali City,Kicukiro,Urban,Ordinary HH,First,,,,,No problems,No other problem,,Solar lantern,Yes,International brands,Yes,1,Yes,Yes,,,Yes,,Have appliances,,,,,,,Solar Home System,888,Yes,6,0102,Paid,8000,Yes,Yes,Don't know,,Reseller
44,8,288.1676184971098,316.6661940627791,Kigali City,Kicukiro,Urban,Ordinary HH,First,,,,,Battery problems,Duration of service too short,,Solar lighting system,Yes,International brands,Yes,2,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,12,No,2,01,Paid,15000,Yes,No,3,No,Other technician
45,1,25.65648931034483,25.08075031656678,Kigali City,Kicukiro,Urban,Ordinary HH,First,Yes,No one,,,Duration of service too short,No other problem,,Solar lighting system,Yes,International brands,Yes,4,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,888,Yes,6,01,Paid,130000,Yes,Yes,6,,Reseller
48,15,1223.457,1317.688059065675,Kigali City,Kicukiro,Urban,Ordinary HH,First,Yes,Water heater,,,No problems,No other problem,,Solar home system,Yes,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Home System,60,No,1,01,Paid,900000,Yes,Yes,1,,Reseller
50,7,70.71207064676618,69.33309778413009,Southern Province,Nyanza,Urban,Ordinary HH,First,Yes,RADIO and telePhone,"Other, specify",Police authorities,No problems,No other problem,,Solar home system,Yes,International brands,No,3,Yes,,,,,,Have appliances,,,,,,,Solar Home System,888,Yes,5,01,For free,,,No,12,,Reseller
52,4,1357.810974358974,1243.834570295906,Southern Province,Nyanza,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar lantern,Yes,International brands,Yes,1,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,3,02,Paid,25000,Yes,No,3,,Owner
52,18,1357.810974358974,1243.834570295906,Southern Province,Nyanza,Rural,Ordinary HH,First,,,,,Breaks down too often,No other problem,,Solar lantern,Yes,International brands,Yes,1,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,3,01,Paid,25000,Yes,No,5,No,Relative/friend
53,8,1158.7450875,1143.165858314658,Southern Province,Nyanza,Rural,Ordinary HH,second,Yes,No one,Relative/Friend,,No problems,No other problem,,Solar lighting system,No,International brands,No,2,No,,,,,,Have appliances,,,,,,,Solar Lighting product,888,No,1,01,For free,,,No,2,,Owner
53,8,1158.7450875,1143.165858314658,Southern Province,Nyanza,Rural,Ordinary HH,First,,,Relative/Friend,,No problems,No other problem,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,For free,,,No,2,,Owner
