Cluster,HI05,HH_WT,C_hhweight,PROVINCE,DISTRICT,HI04,TYPEHH,E00A,E01A,E01B,E01C,E02A,E02B,E02C,E03A,E03B,E03C,E04A,E04B,E04C,E05A,E05B,E05C,E06A,E06B,E06C,E07A,E07B,E07C,E08A,E08B,E09A,E09B,E09C,E10A,E10B,E10C,E11A,E11B,E13A,E13B,E14A,E14B,E15A,E15B,E16A,E16B,E17A,E17B,E18A,E18B,E20A,E20B,E21A,E21B,E22A,E22B,E23A,E23B,E24A,E24B,E26A,E26B,E27A,E27B,E28A,E28B,E29A,E29B,E30A,E30B,E30C,E31A,E31B,E31C,E32A,E32B,E32C,E33A,E33B,E34A,E34B,E35A,E35B,E37A,E37B,E38,E38_OTHER,F01,F10,F10_OTHER
1,1,400.7663,345.8023280804907,Kigali City,Nyarugenge,Urban,Ordinary HH,1,0,,,0,,,4,Yes,11,0,,,0,,,0,,,1,Yes,10,1,Yes,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,Yes,1,Yes,0,,,0,,,1,Yes,4,0,,0,,0,,0,,In nature,,01,Electric lighting,
1,3,400.7663,345.8023280804907,Kigali City,Nyarugenge,Urban,Ordinary HH,0,0,,,0,,,4,Yes,5,0,,,1,Yes,3,1,Yes,1,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,1,Yes,0,,,0,,,1,Yes,3,1,Yes,0,,0,,0,,With other garbage,,02,Electric lighting,
1,4,400.7663,345.8023280804907,Kigali City,Nyarugenge,Urban,Ordinary HH,0,0,,,0,,,4,Yes,4,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,Yes,0,,,0,,,0,,,0,,0,,0,,0,,"Other, specify",Have no appliances out of use,02,No children currently enrolled in school/studying only during daylight,
1,7,400.7663,345.8023280804907,Kigali City,Nyarugenge,Urban,Ordinary HH,0,0,,,0,,,5,Yes,5,0,,,1,Yes,3,1,Yes,6,1,Yes,6,0,,0,,,0,,,0,,1,Yes,0,,1,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,Yes,0,,0,,,0,,,1,Yes,4,1,Yes,0,,0,,0,,With other garbage,,02,No children currently enrolled in school/studying only during daylight,
1,8,400.7663,345.8023280804907,Kigali City,Nyarugenge,Urban,Ordinary HH,0,0,,,0,,,4,Yes,4,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,1,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,,0,,,0,,,0,,0,,0,,0,,With other garbage,,02,Electric lighting,
1,9,400.7663,345.8023280804907,Kigali City,Nyarugenge,Urban,Ordinary HH,0,0,,,0,,,3,Yes,12,0,,,0,,,0,,,1,Yes,3,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,Yes,0,,,0,,,0,,,0,,0,,0,,0,,With other garbage,,02,No children currently enrolled in school/studying only during daylight,
1,10,400.7663,345.8023280804907,Kigali City,Nyarugenge,Urban,Ordinary HH,0,0,,,0,,,6,Yes,4,0,,,0,,,0,,,1,Yes,1,0,,0,,,1,Yes,12,0,,1,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,Yes,1,Yes,0,,,1,Yes,1,0,,,1,Yes,0,,0,,0,,Kept at home,,02,No children currently enrolled in school/studying only during daylight,
1,11,400.7663,345.8023280804907,Kigali City,Nyarugenge,Urban,Ordinary HH,0,0,,,0,,,8,Yes,12,0,,,0,,,0,,,1,Yes,2,0,,0,,,1,Yes,23,0,,1,Yes,0,,1,Yes,0,,0,,0,,0,,0,,0,,0,,1,Yes,1,Yes,1,Yes,2,Yes,0,,0,,,0,,,1,Yes,5,0,,0,,0,,0,,With other garbage,,02,Electric lighting,
1,13,50.54710090090089,51.58024638540963,Kigali City,Nyarugenge,Urban,Ordinary HH,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,"Other, specify",Have no appliances out of use,01,No children currently enrolled in school/studying only during daylight,
1,14,400.7663,345.8023280804907,Kigali City,Nyarugenge,Urban,Ordinary HH,0,0,,,0,,,8,Yes,10,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,1,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,3,Yes,2,Yes,0,,,1,Yes,3,0,,,0,,0,,0,,0,,Kept at home,,01,Electric lighting,
