PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,F11,F12,F13,F14,F15,F16
Kigali City,Nyarugenge,1,Urban,1,Ordinary HH,400.7663,345.8023280804907,Biogas,No,,,,
Kigali City,Nyarugenge,1,Urban,3,Ordinary HH,400.7663,345.8023280804907,Candle,No,,,,
Kigali City,Nyarugenge,1,Urban,4,Ordinary HH,400.7663,345.8023280804907,Paraffin,No,,,,
Kigali City,Nyarugenge,1,Urban,7,Ordinary HH,400.7663,345.8023280804907,Paraffin,No,,,,
Kigali City,Nyarugenge,1,Urban,8,Ordinary HH,400.7663,345.8023280804907,Diesel,No,,,,
Kigali City,Nyarugenge,1,Urban,9,Ordinary HH,400.7663,345.8023280804907,Biogas,No,,,,
Kigali City,Nyarugenge,1,Urban,10,Ordinary HH,400.7663,345.8023280804907,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,1,Urban,11,Ordinary HH,400.7663,345.8023280804907,Diesel,No,,,,
Kigali City,Nyarugenge,1,Urban,13,Ordinary HH,50.54710090090089,51.58024638540963,Gasoline,No,,,,
Kigali City,Nyarugenge,1,Urban,14,Ordinary HH,400.7663,345.8023280804907,Paraffin,No,,,,
Kigali City,Nyarugenge,1,Urban,15,Ordinary HH,400.7663,345.8023280804907,Biogas,No,,,,
Kigali City,Nyarugenge,1,Urban,16,Ordinary HH,400.7663,345.8023280804907,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,1,Urban,17,Ordinary HH,400.7663,345.8023280804907,Paraffin,No,,,,
Kigali City,Nyarugenge,1,Urban,19,Ordinary HH,400.7663,345.8023280804907,Diesel,No,,,,
Kigali City,Nyarugenge,1,Urban,20,Ordinary HH,400.7663,345.8023280804907,Paraffin,No,,,,
Kigali City,Nyarugenge,2,Rural,1,Ordinary HH,221.941,224.2671993195952,Paraffin,No,,,,
Kigali City,Nyarugenge,2,Rural,2,Ordinary HH,221.941,224.2671993195952,Diesel,No,,,,
Kigali City,Nyarugenge,2,Rural,3,Ordinary HH,105.421975,107.1628146221072,Paraffin,No,,,,
Kigali City,Nyarugenge,2,Rural,4,Ordinary HH,105.421975,107.1628146221072,Candle,Yes,6,7,600,
Kigali City,Nyarugenge,2,Rural,5,Ordinary HH,105.421975,107.1628146221072,Paraffin,No,,,,
Kigali City,Nyarugenge,2,Rural,6,Ordinary HH,105.421975,107.1628146221072,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,2,Rural,7,Ordinary HH,105.421975,107.1628146221072,Gasoline,No,,,,
Kigali City,Nyarugenge,2,Rural,8,Ordinary HH,221.941,224.2671993195952,Gasoline,No,,,,
Kigali City,Nyarugenge,2,Rural,9,Ordinary HH,105.421975,107.1628146221072,Biogas,No,,,,
Kigali City,Nyarugenge,2,Rural,10,Ordinary HH,221.941,224.2671993195952,Paraffin,No,,,,
Kigali City,Nyarugenge,2,Rural,11,Ordinary HH,221.941,224.2671993195952,Paraffin,No,,,,
Kigali City,Nyarugenge,2,Rural,12,Ordinary HH,221.941,224.2671993195952,Biogas,No,,,,
Kigali City,Nyarugenge,2,Rural,13,Ordinary HH,221.941,224.2671993195952,Diesel,No,,,,
Kigali City,Nyarugenge,2,Rural,14,Ordinary HH,221.941,224.2671993195952,Kerosene,No,,,,
Kigali City,Nyarugenge,2,Rural,15,Ordinary HH,221.941,224.2671993195952,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,2,Rural,16,Ordinary HH,221.941,224.2671993195952,Diesel,No,,,,
Kigali City,Nyarugenge,2,Rural,18,Ordinary HH,221.941,224.2671993195952,Gasoline,No,,,,
Kigali City,Nyarugenge,2,Rural,22,Ordinary HH,221.941,224.2671993195952,Kerosene,No,,,,
Kigali City,Nyarugenge,3,Rural,1,Ordinary HH,179.50659375,170.7883849440346,Candle,No,,,,
Kigali City,Nyarugenge,3,Rural,2,Ordinary HH,179.50659375,170.7883849440346,Paraffin,No,,,,
Kigali City,Nyarugenge,3,Rural,3,Ordinary HH,1566.603,1370.326394831265,Paraffin,No,,,,
Kigali City,Nyarugenge,3,Rural,4,Ordinary HH,179.50659375,170.7883849440346,Candle,No,,,,
Kigali City,Nyarugenge,3,Rural,5,Ordinary HH,1566.603,1370.326394831265,Gasoline,No,,,,
Kigali City,Nyarugenge,3,Rural,6,Ordinary HH,179.50659375,170.7883849440346,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,3,Rural,7,Ordinary HH,179.50659375,170.7883849440346,Diesel,No,,,,
Kigali City,Nyarugenge,3,Rural,8,Ordinary HH,179.50659375,170.7883849440346,Gasoline,No,,,,
Kigali City,Nyarugenge,3,Rural,9,Ordinary HH,1566.603,1370.326394831265,Kerosene,No,,,,
Kigali City,Nyarugenge,3,Rural,10,Ordinary HH,1566.603,1370.326394831265,Kerosene,No,,,,
Kigali City,Nyarugenge,3,Rural,11,Ordinary HH,1566.603,1370.326394831265,Gasoline,No,,,,
Kigali City,Nyarugenge,3,Rural,12,Ordinary HH,1566.603,1370.326394831265,Diesel,No,,,,
Kigali City,Nyarugenge,3,Rural,13,Ordinary HH,1566.603,1370.326394831265,Paraffin,No,,,,
Kigali City,Nyarugenge,3,Rural,14,Ordinary HH,179.50659375,170.7883849440346,Gasoline,No,,,,
Kigali City,Nyarugenge,3,Rural,15,Ordinary HH,179.50659375,170.7883849440346,Paraffin,No,,,,
