PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,G01,G02,G02A,G02B,G28,G29,G30,G31,G32,G33,G34,G35A,G35B,G36A,G36B,G37A,G37B,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G48_AREA_OTHER,G49_SQUARE,G49_L,G49_W,G49_CERCLE,G50,G51,G52,G53,G54,G54_OTHER,G55_1,G55_2,G55_3,G55_4,G55_5,G55_6,G55_7,G55_8,G55_9,G55_10,G55_OTHER
Kigali City,Nyarugenge,1,Urban,1,Ordinary HH,400.7663,345.8023280804907,01,240,Yes,No,,,,,,,,No,,No,,No,,Agree,Agree,Agree,Disagree,Disagree,No Opinion,Disagree,Disagree,Yes,Yes,Roughly rectangular,,,4,3,,Flat,6,2,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,1,Urban,3,Ordinary HH,400.7663,345.8023280804907,02,120,Yes,No,,,,,,,,Yes,Never,Yes,Never,No,,Disagree,Agree,No Opinion,Agree,Agree,No Opinion,Strongly Disagree,Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,1,Urban,4,Ordinary HH,400.7663,345.8023280804907,02,180,Yes,No,,,,,,,,No,,No,,No,,Strongly Agree,Agree,Agree,Agree,Agree,No Opinion,Disagree,Strongly Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,1,Urban,7,Ordinary HH,400.7663,345.8023280804907,02,120,Yes,Yes,,,,,,,,Yes,Never,Yes,About half the time,Yes,Never,Disagree,Strongly Agree,No Opinion,Agree,Agree,Agree,Strongly Disagree,No Opinion,Yes,No,Roughly rectangular,,,3,2,,Flat,3,1,Yes,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,1,Urban,8,Ordinary HH,400.7663,345.8023280804907,02,120,Yes,No,,,,,,,,No,,Yes,Never,No,,No Opinion,Strongly Agree,No Opinion,Agree,Agree,No Opinion,Strongly Disagree,No Opinion,Yes,Yes,Roughly rectangular,,,3,2,,Flat,3,1,Yes,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,1,Urban,9,Ordinary HH,400.7663,345.8023280804907,02,180,Yes,No,,,,,,,,No,,Yes,Less than half the time,No,,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Don't know,Strongly Disagree,Don't know,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,1,Urban,10,Ordinary HH,400.7663,345.8023280804907,02,150,Yes,Yes,,,,,,,,Yes,Did not cook beans in the last 7 days,No,,No,,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,No,,,,,,,,,,,,Speed to cook,,,,,,,,,,,, 
Kigali City,Nyarugenge,1,Urban,11,Ordinary HH,400.7663,345.8023280804907,02,90,Yes,No,Manufactured biomass stove,Manufactured biomass stove,Manufactured biomass stove,LPG stove,Manufactured biomass stove,LPG stove,LPG stove,No,,No,,No,,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Yes,Yes,Roughly rectangular,,,5,3,,Flat,5,2,Yes,Fuel savings,,,,,,,,,,,, 
Kigali City,Nyarugenge,1,Urban,13,Ordinary HH,50.54710090090089,51.58024638540963,01,240,Yes,No,,,,,,,,No,,No,,No,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,No,,,,,,,,,,,,Easy to use,,,,,,,,,,,, 
Kigali City,Nyarugenge,1,Urban,14,Ordinary HH,400.7663,345.8023280804907,07,240,Yes,No,Manufactured biomass stove,Manufactured biomass stove,Manufactured biomass stove,LPG stove,Manufactured biomass stove,LPG stove,LPG stove,No,,No,,No,,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Yes,Yes,Roughly rectangular,,,5,4,,Flat,4,2,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,1,Urban,15,Ordinary HH,400.7663,345.8023280804907,01,120,Yes,No,,,,,,,,No,,No,,No,,Disagree,Agree,Don't know,Agree,Agree,Don't know,Strongly Disagree,Don't know,Yes,Yes,Roughly rectangular,,,4,2,,Flat,5,2,Yes,Fuel savings,,,,,,,,,,,, 
Kigali City,Nyarugenge,1,Urban,16,Ordinary HH,400.7663,345.8023280804907,02,120,Yes,Yes,,,,,,,,Yes,Less than half the time,Yes,Less than half the time,Yes,Never,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,No,,,,,,,,,,,,Cleanliness,,,,,,,,,,,, 
Kigali City,Nyarugenge,1,Urban,17,Ordinary HH,400.7663,345.8023280804907,01,60,Yes,Yes,,,,,,,,Yes,Less than half the time,Yes,Never,Yes,Never,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,1,Urban,19,Ordinary HH,400.7663,345.8023280804907,02,180,Yes,Yes,LPG stove,LPG stove,LPG stove,LPG stove,LPG stove,LPG stove,LPG stove,Yes,Never,Yes,Less than half the time,No,,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes,Roughly square,,2,,,,Flat,4,1,Yes,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,1,Urban,20,Ordinary HH,400.7663,345.8023280804907,01,60,Yes,No,,,,,,,,No,,Yes,About half the time,No,,Disagree,Agree,No Opinion,Disagree,Agree,No Opinion,Disagree,No Opinion,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,2,Rural,1,Ordinary HH,221.941,224.2671993195952,02,60,No,,,,,,,,,No,,No,,No,,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,No Opinion,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
