PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,I01,I17A,I18A,I19A,I17B,I18B,I19B,I17C,I18C,I19C,I17D,I18D,I19D,J01,J02,J03,J03_OTHER,J04,J05,J06,J06_OTHER
Kigali City,Nyarugenge,1,Urban,1,Ordinary HH,400.7663,345.8023280804907,01,45,Weekly,120,,,,45,Weekly,45,45,Weekly,120,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,1,Urban,3,Ordinary HH,400.7663,345.8023280804907,02,10,Daily,5,10,Daily,5,0,,,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,1,Urban,4,Ordinary HH,400.7663,345.8023280804907,02,20,Monthly,0,,,,0,,,,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,1,Urban,7,Ordinary HH,400.7663,345.8023280804907,02,20,Monthly,5,,,,0,,,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,1,Urban,8,Ordinary HH,400.7663,345.8023280804907,02,15,Daily,5,0,,,0,,,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,1,Urban,9,Ordinary HH,400.7663,345.8023280804907,02,30,Daily,0,,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,1,Urban,10,Ordinary HH,400.7663,345.8023280804907,02,60,Weekly,30,,,,45,Weekly,60,,,,Yes,Electric heater/boiler,, ,No,,, 
Kigali City,Nyarugenge,1,Urban,11,Ordinary HH,400.7663,345.8023280804907,02,0,,,0,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,1,Urban,13,Ordinary HH,50.54710090090089,51.58024638540963,01,,,,,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,1,Urban,14,Ordinary HH,400.7663,345.8023280804907,01,30,Weekly,120,30,Weekly,30,60,Weekly,60,60,Weekly,45,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,1,Urban,15,Ordinary HH,400.7663,345.8023280804907,01,,,,,,,45,Daily,0,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,1,Urban,16,Ordinary HH,400.7663,345.8023280804907,01,45,Weekly,60,45,Weekly,30,60,Weekly,120,,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,1,Urban,17,Ordinary HH,400.7663,345.8023280804907,01,120,Weekly,60,,,,120,Weekly,30,,,,Yes,Electric kettle/coil,, ,No,,, 
Kigali City,Nyarugenge,1,Urban,19,Ordinary HH,400.7663,345.8023280804907,02,60,Weekly,60,90,Weekly,45,120,Weekly,45,90,Weekly,60,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,1,Urban,20,Ordinary HH,400.7663,345.8023280804907,01,45,Weekly,120,,,,,,,,,,No,,, ,No,,, 
