PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,K1A,K1B,K1C,K1D,K2A,K2B,K2C,K2D,K3A,K3B,K3C,K3D,K4A,K4B,K4C,K4D,K5A,K5B,K5C,K5D,K6A,K6B,K6C,K6D,K7A,K7B,K7C,K7D,K8A,K8B,K8C,K8D,K9A,K9B,K9C,K9D,L1A,L2A,L3A,L4A_1,L4A_2,L4A_3,L4A_4,L4A_5,L5A,L6A,L7A,L8A,L9A,L1B,L2B,L3B,L4B_1,L4B_2,L4B_3,L4B_4,L4B_5,L5B,L6B,L7B,L8B,L9B,L1C,L2C,L3C,L4C_1,L4C_2,L4C_3,L4C_4,L4C_5,L5C,L6C,L7C,L8C,L9C,L1D,L2D,L3D,L4D_1,L4D_2,L4D_3,L4D_4,L4D_5,L5D,L6D,L7D,L8D,L9D,L1E,L2E,L3E,L4E_1,L4E_2,L4E_3,L4E_4,L4E_5,L5E,L6E,L7E,L8E,L9E
Kigali City,Nyarugenge,1,Urban,1,Ordinary HH,400.7663,345.8023280804907,,,,,60,,60,0,540,,120,0,60,,60,0,600,,600,0,120,,60,300,0,,0,360,120,,180,120,120,,180,120,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,1,0,0,,,,,,0,0,0,,0
Kigali City,Nyarugenge,1,Urban,3,Ordinary HH,400.7663,345.8023280804907,,,,,120,0,0,0,60,0,0,0,0,0,0,30,0,0,600,0,0,30,60,60,0,30,0,30,60,60,60,60,0,60,0,60,0,,0,,,,,,0,0,0,,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,,0,2,2,2,2,0,2,0,0,0,0,0,,0,1,1,1,0,0,1,0,0,0,0,0,,0
Kigali City,Nyarugenge,1,Urban,4,Ordinary HH,400.7663,345.8023280804907,,,,,120,,90,,0,,0,,60,,0,,0,,480,,60,,120,,0,,0,,60,,30,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigali City,Nyarugenge,1,Urban,7,Ordinary HH,400.7663,345.8023280804907,,,,,120,,0,,240,,60,,0,,0,,0,,540,,0,,60,,0,,0,,60,,60,,120,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0
Kigali City,Nyarugenge,1,Urban,8,Ordinary HH,400.7663,345.8023280804907,,,,,30,0,0,0,120,60,60,0,0,0,30,0,420,0,0,0,0,60,60,60,0,0,0,30,0,0,0,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,1,1,1,0,0,1,0,0,0,0,0,,0
Kigali City,Nyarugenge,1,Urban,9,Ordinary HH,400.7663,345.8023280804907,,,,,180,,0,,0,,0,,0,,0,,0,,600,,60,,120,,0,,0,,0,,0,,60,,30,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0
Kigali City,Nyarugenge,1,Urban,10,Ordinary HH,400.7663,345.8023280804907,,,,,120,,60,,40,,10,,30,,0,,120,,0,,180,,240,,0,,0,,30,,60,,120,,240,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigali City,Nyarugenge,1,Urban,11,Ordinary HH,400.7663,345.8023280804907,,,,,180,0,0,0,60,0,60,0,30,0,60,0,0,0,540,0,120,60,120,60,30,60,30,60,180,60,120,60,60,60,90,60,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,
Kigali City,Nyarugenge,1,Urban,13,Ordinary HH,50.54710090090089,51.58024638540963,,,,,,,0,,,,0,,,,0,,,,420,,,,120,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigali City,Nyarugenge,1,Urban,14,Ordinary HH,400.7663,345.8023280804907,,,,,120,0,0,0,300,0,0,0,60,60,0,60,540,0,0,0,120,240,180,180,180,360,0,360,120,180,180,120,120,120,180,120,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,1,0,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,
Kigali City,Nyarugenge,1,Urban,15,Ordinary HH,400.7663,345.8023280804907,,,,,,,120,,,,90,,,,0,,,,600,,,,30,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigali City,Nyarugenge,1,Urban,16,Ordinary HH,400.7663,345.8023280804907,,,,,30,,0,,25,,25,,120,,0,,0,,0,,120,,360,,120,,240,,60,,240,,0,,360,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,1,0,,,,,,0,0,0,,0
Kigali City,Nyarugenge,1,Urban,17,Ordinary HH,400.7663,345.8023280804907,,,,,30,,0,,30,,25,,30,,25,,0,,0,,45,,45,,0,,0,,0,,45,,30,,30,,1,1,1,1,0,1,0,0,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigali City,Nyarugenge,1,Urban,19,Ordinary HH,400.7663,345.8023280804907,,,,,20,10,0,0,35,45,45,0,0,0,15,0,120,0,0,0,0,0,420,0,45,45,0,0,120,0,360,300,0,0,0,60,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,1,0,0,,,,,,0,0,0,,0,0,,,,,,,,0,1,1,0,0,0,,,,,,,,0,0,0,,0
Kigali City,Nyarugenge,1,Urban,20,Ordinary HH,400.7663,345.8023280804907,,,,,70,,,,60,,,,0,,,,300,,,,240,,,,120,,,,0,,,,0,,,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigali City,Nyarugenge,2,Rural,1,Ordinary HH,221.941,224.2671993195952,,,,,120,0,0,,0,0,0,,0,0,0,,0,0,480,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,,,,,,0,1,0,,0,0,,,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0
Kigali City,Nyarugenge,2,Rural,2,Ordinary HH,221.941,224.2671993195952,,,,,60,,0,0,0,,0,0,0,,0,0,0,,300,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,1,0,0,,,,,,0,0,0,,0
Kigali City,Nyarugenge,2,Rural,3,Ordinary HH,105.421975,107.1628146221072,,,,,120,,0,,30,,30,,0,,0,,0,,240,,60,,60,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,1,0,,,,,,0,0,0,,0
