province,district,cluster,HHID,ubudehe,sex,age,electricity,urban_rural,paid_work,school,marital_code,HH_WT,C_hhweight,source,marital,type,quantity,frequency,expenditure,light_percentage,monthly_expenditure,annual_expenditure,all_fuel_exp,clean_cooking,cookstove_type,injury,minute_spent,fuel_availability,availability.fac,mobile_num,smart_phone,charge_home.code,charge_outside.code,charge_expenditure,internet,minigrid_pay.code,nationalgrid_pay.code,charge_home,charge_outside,minigrid_pay,nationalgrid_pay,mobile_exp,N01,N02,ownership,main_energy.code,main_energy,candle_exp,solar,grid,no_elec,charcoal_exp,wood_exp,gas_exp,biomass_exp,kerosene_exp
Kigali City,Nyarugenge,1,110100101,2,2,33,1,1,1,1,2,400.7663,345.8023281,National grid,Married monogamously without certificate,Candle,1,14,100,NA,214.2857143,2607.142857,2.24,1,Manufactured biomass stove,NA,10,2,Mostly available,3,1,1,NA,NA,1,NA,3,Yes,NA,NA,Credits using mobile money,0,2,4,Joint account (with savings group),1,National grid,2.24,0,1,0,130.79,0,0,0,0
Kigali City,Nyarugenge,1,110100301,2,1,31,1,1,1,0,2,400.7663,345.8023281,National grid,Married monogamously without certificate,NA,NA,NA,NA,NA,NA,0,0,1,Manufactured biomass stove,NA,10,1,Always available,2,1,1,NA,NA,1,NA,3,Yes,NA,NA,Credits using mobile money,0,2,1,No account,1,National grid,0,0,1,0,188.34,0,0,0,0
Kigali City,Nyarugenge,1,110100401,2,1,75,1,1,2,1,1,400.7663,345.8023281,National grid, Married monogamously with legal certificate,Candle,1,30,500,NA,500,6083.333333,5.23,1,LPG stove,NA,1,NA,NA,2,1,1,NA,NA,1,NA,3,Yes,NA,NA,Credits using mobile money,0,2,1,No account,1,National grid,5.23,0,1,0,0,0,125.56,0,0
Kigali City,Nyarugenge,1,110100701,3,1,27,1,1,1,1,1,400.7663,345.8023281,National grid, Married monogamously with legal certificate,NA,NA,NA,NA,NA,NA,0,0,1,Manufactured biomass stove,NA,5,2,Mostly available,2,1,1,NA,NA,1,NA,3,Yes,NA,NA,Credits using mobile money,0,2,1,No account,1,National grid,0,0,1,0,104.63,0,0,0,0
Kigali City,Nyarugenge,1,110100801,2,1,39,1,1,2,1,1,400.7663,345.8023281,National grid, Married monogamously with legal certificate,Candle,3,14,200,NA,428.5714286,5214.285714,4.48,1,Manufactured biomass stove,NA,5,2,Mostly available,1,2,1,NA,NA,2,NA,3,Yes,NA,NA,Credits using mobile money,0,2,1,No account,1,National grid,4.48,0,1,0,282.51,0,0,0,0
Kigali City,Nyarugenge,1,110100901,2,1,28,1,1,1,1,2,400.7663,345.8023281,National grid,Married monogamously without certificate,Candle,3,30,100,NA,100,1216.666667,1.05,1,Manufactured biomass stove,NA,15,2,Mostly available,2,2,1,NA,NA,2,NA,3,Yes,NA,NA,Credits using mobile money,0,2,3,Joint account (with spouse),1,National grid,1.05,0,1,0,156.95,0,0,0,0
Kigali City,Nyarugenge,1,110101001,3,1,49,1,1,2,1,2,400.7663,345.8023281,National grid,Married monogamously without certificate,NA,NA,NA,NA,NA,NA,0,0,1,Electric stove,NA,1,NA,NA,3,1,1,NA,NA,1,NA,3,Yes,NA,NA,Credits using mobile money,0,2,2,Own account,1,National grid,0,0,1,0,0,0,0,0,0
Kigali City,Nyarugenge,1,110101101,3,1,34,1,1,1,1,1,400.7663,345.8023281,National grid, Married monogamously with legal certificate,Candle,3,21,100,NA,142.8571429,1738.095238,1.49,1,Manufactured biomass stove,NA,20,2,Mostly available,2,1,1,NA,NA,1,NA,3,Yes,NA,NA,Credits using mobile money,0,2,3,Joint account (with spouse),1,National grid,1.49,0,1,0,104.63,0,230.19,0,0
Kigali City,Nyarugenge,1,110101301,2,1,33,0,1,1,1,1,50.5471009,51.58024639,No electricity, Married monogamously with legal certificate,Candle,9,3,50,NA,500,6083.333333,5.23,0,Other cookstove,NA,10,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,Own account,111,No electricity,5.23,0,0,1,3.14,0,0,0,0
Kigali City,Nyarugenge,1,110101401,3,2,72,1,1,2,1,8,400.7663,345.8023281,National grid,Widow/Widower,Candle,1,21,100,NA,142.8571429,1738.095238,1.49,1,Manufactured biomass stove,NA,10,2,Mostly available,5,1,1,NA,NA,1,NA,3,Yes,NA,NA,Credits using mobile money,0,1,1,No account,1,National grid,1.49,0,1,0,20.93,0,219.73,0,0
Kigali City,Nyarugenge,1,110101501,2,1,26,1,1,1,1,7,400.7663,345.8023281,National grid,Single,Candle,5,7,500,NA,2142.857143,26071.42857,22.42,1,Manufactured biomass stove,NA,10,1,Always available,1,2,1,NA,NA,2,NA,3,Yes,NA,NA,Credits using mobile money,0,1,2,Own account,1,National grid,22.42,0,1,0,156.95,0,0,0,0
Kigali City,Nyarugenge,1,110101601,3,1,37,1,1,1,1,2,400.7663,345.8023281,National grid,Married monogamously without certificate,NA,NA,NA,NA,NA,NA,0,0,1,LPG stove,NA,1,NA,NA,5,1,1,NA,NA,2,NA,3,Yes,NA,NA,Credits using mobile money,0,2,2,Own account,1,National grid,0,0,1,0,0,0,214.5,0,0
Kigali City,Nyarugenge,1,110101701,2,2,49,1,1,1,1,8,400.7663,345.8023281,National grid,Widow/Widower,NA,NA,NA,NA,NA,NA,0,0,1,Manufactured biomass stove,NA,15,2,Mostly available,3,1,1,NA,NA,1,NA,3,Yes,NA,NA,Credits using mobile money,0,1,2,Own account,1,National grid,0,0,1,0,0,0,0,15.7,0
Kigali City,Nyarugenge,1,110101901,3,1,40,1,1,1,1,1,400.7663,345.8023281,National grid, Married monogamously with legal certificate,Candle,2,30,100,NA,100,1216.666667,1.05,1,LPG stove,NA,1,NA,NA,2,1,1,NA,NA,1,NA,3,Yes,NA,NA,Credits using mobile money,0,2,3,Joint account (with spouse),1,National grid,1.05,0,1,0,0,0,235.42,15.7,0
Kigali City,Nyarugenge,1,110102001,1,2,46,1,1,1,1,8,400.7663,345.8023281,National grid,Widow/Widower,Candle,1,7,100,NA,428.5714286,5214.285714,4.48,1,Manufactured biomass stove,NA,5,2,Mostly available,3,1,1,NA,NA,1,NA,2,Yes,NA,NA,Vouchers/token/pre-paid card from local store,0,1,4,Joint account (with savings group),1,National grid,4.48,0,1,0,94.17,0,0,0,0
Kigali City,Nyarugenge,2,110200101,2,1,47,1,2,2,1,1,221.941,224.2671993,National grid, Married monogamously with legal certificate,NA,NA,NA,NA,NA,NA,0,0,0,Traditional/Locally built stove,NA,10,2,Mostly available,3,2,1,NA,NA,2,NA,3,Yes,NA,NA,Credits using mobile money,0,1,1,No account,1,National grid,0,0,1,0,0,12.56,0,0,0
Kigali City,Nyarugenge,2,110200201,2,1,40,1,2,2,1,1,221.941,224.2671993,National grid, Married monogamously with legal certificate,NA,NA,NA,NA,NA,NA,0,0,0,Traditional/Locally built stove,NA,15,2,Mostly available,2,2,1,NA,NA,2,NA,3,Yes,NA,NA,Credits using mobile money,0,2,3,Joint account (with spouse),1,National grid,0,0,1,0,0,0,0,0,0
Kigali City,Nyarugenge,2,110200301,2,1,32,0,2,1,0,2,105.421975,107.1628146,No electricity,Married monogamously without certificate,NA,NA,NA,NA,NA,NA,0,0,0,3-Stones/Open fire stove,NA,5,2,Mostly available,2,2,2,2,1600,2,NA,NA,No,2,NA,NA,1.376,1,1,No account,111,No electricity,0,0,0,1,0,0,0,0,0
Kigali City,Nyarugenge,2,110200401,2,2,47,0,2,2,1,8,105.421975,107.1628146,No electricity,Widow/Widower,Candle,6,7,600,NA,2571.428571,31285.71429,26.91,0,3-Stones/Open fire stove,1,4,3,Sometimes available,2,2,2,2,1600,2,NA,NA,No,2,NA,NA,1.376,1,1,No account,111,No electricity,26.91,0,0,1,0,0,0,0,0
Kigali City,Nyarugenge,2,110200501,2,2,43,0,2,2,0,3,105.421975,107.1628146,No electricity,Married polygamous,Candle,10,1,100,NA,3000,36500,31.39,0,Traditional/Locally built stove,NA,2,3,Sometimes available,1,2,2,1,800,2,NA,NA,No,1,NA,NA,0.688,1,1,No account,111,No electricity,31.39,0,0,1,0,0,0,0,0
Kigali City,Nyarugenge,2,110200601,3,1,45,1,2,1,1,2,105.421975,107.1628146,Solar Home System,Married monogamously without certificate,NA,NA,NA,NA,NA,NA,0,0,0,Traditional/Locally built stove,NA,5,2,Mostly available,2,2,1,NA,NA,2,NA,NA,Yes,NA,NA,NA,0,1,1,No account,6,Solar Home System,0,1,0,0,0,0,0,0,0
Kigali City,Nyarugenge,2,110200701,3,1,42,0,2,2,1,2,105.421975,107.1628146,No electricity,Married monogamously without certificate,Candle,11,2,100,NA,1500,18250,15.7,0,3-Stones/Open fire stove,NA,5,2,Mostly available,1,2,2,1,800,2,NA,NA,No,1,NA,NA,0.688,1,1,No account,111,No electricity,15.7,0,0,1,0,0,0,0,0
Kigali City,Nyarugenge,2,110200801,2,2,46,1,2,2,0,2,221.941,224.2671993,National grid,Married monogamously without certificate,NA,NA,NA,NA,NA,NA,0,0,0,Traditional/Locally built stove,NA,15,2,Mostly available,1,2,1,NA,NA,2,NA,3,Yes,NA,NA,Credits using mobile money,0,1,1,No account,1,National grid,0,0,1,0,0,0,0,0,0
Kigali City,Nyarugenge,2,110200901,2,1,52,0,2,2,1,1,105.421975,107.1628146,No electricity, Married monogamously with legal certificate,NA,NA,NA,NA,NA,NA,0,0,0,3-Stones/Open fire stove,1,5,4,Rarely available,4,1,2,4,3200,2,NA,NA,No,4,NA,NA,2.752,2,1,No account,111,No electricity,0,0,0,1,0,0,0,0,0
Kigali City,Nyarugenge,2,110201001,2,1,68,1,2,2,1,1,221.941,224.2671993,National grid, Married monogamously with legal certificate,NA,NA,NA,NA,NA,NA,0,0,0,Traditional/Locally built stove,NA,5,2,Mostly available,1,2,1,NA,NA,2,NA,555,Yes,NA,NA,"Other, specify",0,2,1,No account,1,National grid,0,0,1,0,0,0,0,0,0
