province,district,cluster,HHID,ubudehe,sex,age,electricity,urban_rural,paid_work,school,marital_code,HH_WT,C_hhweight,source,marital,type,quantity,frequency,expenditure,light_percentage,monthly_expenditure,annual_expenditure,all_fuel_exp,clean_cooking,cookstove_type,injury,minute_spent,fuel_availability,availability.fac,mobile_num,smart_phone,charge_home.code,charge_outside.code,charge_expenditure,internet,minigrid_pay.code,nationalgrid_pay.code,charge_home,charge_outside,minigrid_pay,nationalgrid_pay,mobile_exp,N01,N02,ownership,main_energy.code,main_energy,candle_exp,solar,grid,no_elec,charcoal_exp,wood_exp,gas_exp,biomass_exp,kerosene_exp
Kigali City,Nyarugenge,1,110100101,2,2,33,1,1,1,1,2,400.7663,345.80232808049067,National grid,Married monogamously without certificate,Candle,1,14,100,NA,214.28571428571428,2607.1428571428573,2.24,1,Manufactured biomass stove,NA,10,2,Mostly available,3,1,1,NA,NA,1,NA,3,Yes,NA,NA,Credits using mobile money,0,2,4,Joint account (with savings group),1,National grid,2.24,0,1,0,0.88,0,0,0,0
Kigali City,Nyarugenge,1,110100301,2,1,31,1,1,1,0,2,400.7663,345.80232808049067,National grid,Married monogamously without certificate,NA,NA,NA,NA,NA,NA,0,0,1,Manufactured biomass stove,NA,10,1,Always available,2,1,1,NA,NA,1,NA,3,Yes,NA,NA,Credits using mobile money,0,2,1,No account,1,National grid,0,0,1,0,0,0,0,0,0
Kigali City,Nyarugenge,1,110100401,2,1,75,1,1,2,1,1,400.7663,345.80232808049067,National grid, Married monogamously with legal certificate,Candle,1,30,500,NA,500,6083.333333333334,5.23,1,LPG stove,NA,1,NA,NA,2,1,1,NA,NA,1,NA,3,Yes,NA,NA,Credits using mobile money,0,2,1,No account,1,National grid,5.23,0,1,0,0,0,0.85,0,0
Kigali City,Nyarugenge,1,110100701,3,1,27,1,1,1,1,1,400.7663,345.80232808049067,National grid, Married monogamously with legal certificate,NA,NA,NA,NA,NA,NA,0,0,1,Manufactured biomass stove,NA,5,2,Mostly available,2,1,1,NA,NA,1,NA,3,Yes,NA,NA,Credits using mobile money,0,2,1,No account,1,National grid,0,0,1,0,0.71,0,0,0,0
Kigali City,Nyarugenge,1,110100801,2,1,39,1,1,2,1,1,400.7663,345.80232808049067,National grid, Married monogamously with legal certificate,Candle,3,14,200,NA,428.57142857142856,5214.285714285715,4.48,1,Manufactured biomass stove,NA,5,2,Mostly available,1,2,1,NA,NA,2,NA,3,Yes,NA,NA,Credits using mobile money,0,2,1,No account,1,National grid,4.48,0,1,0,0,0,0,0,0
Kigali City,Nyarugenge,1,110100901,2,1,28,1,1,1,1,2,400.7663,345.80232808049067,National grid,Married monogamously without certificate,Candle,3,30,100,NA,100,1216.6666666666667,1.05,1,Manufactured biomass stove,NA,15,2,Mostly available,2,2,1,NA,NA,2,NA,3,Yes,NA,NA,Credits using mobile money,0,2,3,Joint account (with spouse),1,National grid,1.05,0,1,0,0,0,0,0,0
Kigali City,Nyarugenge,1,110101001,3,1,49,1,1,2,1,2,400.7663,345.80232808049067,National grid,Married monogamously without certificate,NA,NA,NA,NA,NA,NA,0,0,1,Electric stove,NA,1,NA,NA,3,1,1,NA,NA,1,NA,3,Yes,NA,NA,Credits using mobile money,0,2,2,Own account,1,National grid,0,0,1,0,0,0,0,0,0
Kigali City,Nyarugenge,1,110101101,3,1,34,1,1,1,1,1,400.7663,345.80232808049067,National grid, Married monogamously with legal certificate,Candle,3,21,100,NA,142.85714285714286,1738.095238095238,1.49,1,Manufactured biomass stove,NA,20,2,Mostly available,2,1,1,NA,NA,1,NA,3,Yes,NA,NA,Credits using mobile money,0,2,3,Joint account (with spouse),1,National grid,1.49,0,1,0,0.71,0,1.56,0,0
Kigali City,Nyarugenge,1,110101301,2,1,33,0,1,1,1,1,50.547100900900894,51.58024638540963,No electricity, Married monogamously with legal certificate,Candle,9,3,50,NA,500,6083.333333333334,5.23,0,Other cookstove,NA,10,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,Own account,111,No electricity,5.23,0,0,1,0.02,0,0,0,0
Kigali City,Nyarugenge,1,110101401,3,2,72,1,1,2,1,8,400.7663,345.80232808049067,National grid,Widow/Widower,Candle,1,21,100,NA,142.85714285714286,1738.095238095238,1.49,1,Manufactured biomass stove,NA,10,2,Mostly available,5,1,1,NA,NA,1,NA,3,Yes,NA,NA,Credits using mobile money,0,1,1,No account,1,National grid,1.49,0,1,0,0.14,0,1.48,0,0
